dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
PubMed,0.1,1,0.5,0.5,-0.008999943733215332
PubMed,0.1,1,0.5,0.6,-0.011999964714050293
PubMed,0.1,1,0.5,0.7,-0.023000001907348633
PubMed,0.1,1,0.5,0.8,-0.02499997615814209
PubMed,0.1,1,0.5,0.9,-0.02199995517730713
PubMed,0.1,1,0.5,1.0,-0.02599996328353882
PubMed,0.1,1,0.6,0.0,0.025000035762786865
PubMed,0.1,1,0.6,0.1,0.025000035762786865
PubMed,0.1,1,0.6,0.2,0.009000003337860107
PubMed,0.1,1,0.6,0.3,0.0020000338554382324
PubMed,0.1,1,0.6,0.4,-0.008999943733215332
PubMed,0.1,1,0.6,0.5,-0.008999943733215332
PubMed,0.1,1,0.6,0.6,-0.011999964714050293
PubMed,0.1,1,0.6,0.7,-0.023000001907348633
PubMed,0.1,1,0.6,0.8,-0.02499997615814209
PubMed,0.1,1,0.6,0.9,-0.02199995517730713
PubMed,0.1,1,0.6,1.0,-0.02599996328353882
PubMed,0.1,1,0.7,0.0,0.025000035762786865
PubMed,0.1,1,0.7,0.1,0.025000035762786865
PubMed,0.1,1,0.7,0.2,0.009000003337860107
PubMed,0.1,1,0.7,0.3,0.0020000338554382324
PubMed,0.1,1,0.7,0.4,-0.008999943733215332
PubMed,0.1,1,0.7,0.5,-0.008999943733215332
PubMed,0.1,1,0.7,0.6,-0.011999964714050293
PubMed,0.1,1,0.7,0.7,-0.023000001907348633
PubMed,0.1,1,0.7,0.8,-0.02499997615814209
PubMed,0.1,1,0.7,0.9,-0.02199995517730713
PubMed,0.1,1,0.7,1.0,-0.02599996328353882
PubMed,0.1,1,0.8,0.0,0.025000035762786865
PubMed,0.1,1,0.8,0.1,0.025000035762786865
PubMed,0.1,1,0.8,0.2,0.009000003337860107
PubMed,0.1,1,0.8,0.3,0.0020000338554382324
PubMed,0.1,1,0.8,0.4,-0.008999943733215332
PubMed,0.1,1,0.8,0.5,-0.008999943733215332
PubMed,0.1,1,0.8,0.6,-0.011999964714050293
PubMed,0.1,1,0.8,0.7,-0.023000001907348633
PubMed,0.1,1,0.8,0.8,-0.02499997615814209
PubMed,0.1,1,0.8,0.9,-0.02199995517730713
PubMed,0.1,1,0.8,1.0,-0.02599996328353882
PubMed,0.1,1,0.9,0.0,0.025000035762786865
PubMed,0.1,1,0.9,0.1,0.025000035762786865
PubMed,0.1,1,0.9,0.2,0.009000003337860107
PubMed,0.1,1,0.9,0.3,0.0020000338554382324
PubMed,0.1,1,0.9,0.4,-0.008999943733215332
PubMed,0.1,1,0.9,0.5,-0.008999943733215332
PubMed,0.1,1,0.9,0.6,-0.011999964714050293
PubMed,0.1,1,0.9,0.7,-0.023000001907348633
PubMed,0.1,1,0.9,0.8,-0.02499997615814209
PubMed,0.1,1,0.9,0.9,-0.02199995517730713
PubMed,0.1,1,0.9,1.0,-0.02599996328353882
PubMed,0.1,1,1.0,0.0,0.025000035762786865
PubMed,0.1,1,1.0,0.1,0.025000035762786865
PubMed,0.1,1,1.0,0.2,0.009000003337860107
PubMed,0.1,1,1.0,0.3,0.0020000338554382324
PubMed,0.1,1,1.0,0.4,-0.008999943733215332
PubMed,0.1,1,1.0,0.5,-0.008999943733215332
PubMed,0.1,1,1.0,0.6,-0.011999964714050293
PubMed,0.1,1,1.0,0.7,-0.023000001907348633
PubMed,0.1,1,1.0,0.8,-0.02499997615814209
PubMed,0.1,1,1.0,0.9,-0.02199995517730713
PubMed,0.1,1,1.0,1.0,-0.02599996328353882
PubMed,0.1,2,0.1,0.0,0.009000003337860107
PubMed,0.1,2,0.1,0.1,0.009000003337860107
PubMed,0.1,2,0.1,0.2,0.0059999823570251465
PubMed,0.1,2,0.1,0.3,0.004999995231628418
PubMed,0.1,2,0.1,0.4,0.006999969482421875
PubMed,0.1,2,0.1,0.5,0.006999969482421875
PubMed,0.1,2,0.1,0.6,0.0
PubMed,0.1,2,0.1,0.7,-0.003000020980834961
PubMed,0.1,2,0.1,0.8,-0.021000027656555176
PubMed,0.1,2,0.1,0.9,-0.021000027656555176
PubMed,0.1,2,0.1,1.0,-0.021000027656555176
PubMed,0.1,2,0.2,0.0,0.009000003337860107
PubMed,0.1,2,0.2,0.1,0.009000003337860107
