dataset,noise_rate,seed,p_grd,dexp,gain
PubMed,0.1,1,0.9,2,0.0
PubMed,0.1,1,0.9,3,0.0
PubMed,0.1,1,0.9,4,0.0
PubMed,0.1,1,0.9,5,0.0
PubMed,0.1,1,0.9,6,0.0
PubMed,0.1,1,0.9,7,0.0
PubMed,0.1,1,0.9,8,0.0
PubMed,0.1,1,0.9,9,0.0
PubMed,0.1,1,0.9,10,0.0
PubMed,0.1,2,0.0,0,-0.008000016212463379
PubMed,0.1,2,0.0,1,-0.00700002908706665
PubMed,0.1,2,0.0,2,-0.0059999823570251465
PubMed,0.1,2,0.0,3,0.009000003337860107
PubMed,0.1,2,0.0,4,-0.012000024318695068
PubMed,0.1,2,0.0,5,-0.0040000081062316895
PubMed,0.1,2,0.0,6,-0.03200000524520874
PubMed,0.1,2,0.0,7,0.008000016212463379
PubMed,0.1,2,0.0,8,0.017000019550323486
PubMed,0.1,2,0.0,9,0.0
PubMed,0.1,2,0.0,10,-0.021000027656555176
PubMed,0.1,2,0.1,0,0.02399998903274536
PubMed,0.1,2,0.1,1,-0.03600001335144043
PubMed,0.1,2,0.1,2,0.003000020980834961
PubMed,0.1,2,0.1,3,-0.03299999237060547
PubMed,0.1,2,0.1,4,-0.010999977588653564
PubMed,0.1,2,0.1,5,-0.02899998426437378
PubMed,0.1,2,0.1,6,-0.0009999871253967285
PubMed,0.1,2,0.1,7,-0.02899998426437378
PubMed,0.1,2,0.1,8,0.0
PubMed,0.1,2,0.1,9,-0.0020000338554382324
PubMed,0.1,2,0.1,10,-0.012000024318695068
PubMed,0.1,2,0.2,0,-0.0339999794960022
PubMed,0.1,2,0.2,1,-0.021000027656555176
PubMed,0.1,2,0.2,2,-0.02799999713897705
PubMed,0.1,2,0.2,3,0.004999995231628418
PubMed,0.1,2,0.2,4,-0.023000001907348633
PubMed,0.1,2,0.2,5,0.008000016212463379
PubMed,0.1,2,0.2,6,0.0009999871253967285
PubMed,0.1,2,0.2,7,0.026000022888183594
PubMed,0.1,2,0.2,8,0.026000022888183594
PubMed,0.1,2,0.2,9,0.023000001907348633
PubMed,0.1,2,0.2,10,0.0339999794960022
PubMed,0.1,2,0.3,0,-0.0059999823570251465
PubMed,0.1,2,0.3,1,-0.04100000858306885
PubMed,0.1,2,0.3,2,0.0
