dataset,noise_rate,seed,p_grd,dexp,gain
Cora,0.1,4,0.5,2,0.004999995231628418
Cora,0.1,4,0.5,3,-0.010999977588653564
Cora,0.1,4,0.5,4,-0.0009999871253967285
Cora,0.1,4,0.5,5,-0.0009999871253967285
Cora,0.1,4,0.5,6,-0.0009999871253967285
Cora,0.1,4,0.5,7,-0.0009999871253967285
Cora,0.1,4,0.5,8,0.0040000081062316895
Cora,0.1,4,0.5,9,-0.0009999871253967285
Cora,0.1,4,0.5,10,-0.0009999871253967285
Cora,0.1,4,0.6,0,0.022000014781951904
Cora,0.1,4,0.6,1,0.001999974250793457
Cora,0.1,4,0.6,2,-0.010999977588653564
Cora,0.1,4,0.6,3,-0.0009999871253967285
Cora,0.1,4,0.6,4,-0.0009999871253967285
Cora,0.1,4,0.6,5,-0.0009999871253967285
Cora,0.1,4,0.6,6,-0.0009999871253967285
Cora,0.1,4,0.6,7,-0.0009999871253967285
Cora,0.1,4,0.6,8,-0.0009999871253967285
Cora,0.1,4,0.6,9,-0.0009999871253967285
Cora,0.1,4,0.6,10,-0.0009999871253967285
Cora,0.1,4,0.7,0,0.004999995231628418
Cora,0.1,4,0.7,1,-0.0009999871253967285
Cora,0.1,4,0.7,2,-0.010999977588653564
Cora,0.1,4,0.7,3,-0.003000020980834961
Cora,0.1,4,0.7,4,-0.0009999871253967285
Cora,0.1,4,0.7,5,-0.0009999871253967285
Cora,0.1,4,0.7,6,-0.003000020980834961
Cora,0.1,4,0.7,7,0.0
Cora,0.1,4,0.7,8,-0.003000020980834961
Cora,0.1,4,0.7,9,0.0
Cora,0.1,4,0.7,10,0.0
Cora,0.1,4,0.8,0,0.017000019550323486
Cora,0.1,4,0.8,1,0.0
Cora,0.1,4,0.8,2,-0.003000020980834961
Cora,0.1,4,0.8,3,-0.003000020980834961
Cora,0.1,4,0.8,4,-0.003000020980834961
Cora,0.1,4,0.8,5,-0.003000020980834961
Cora,0.1,4,0.8,6,-0.003000020980834961
Cora,0.1,4,0.8,7,-0.003000020980834961
Cora,0.1,4,0.8,8,0.0
Cora,0.1,4,0.8,9,0.0
Cora,0.1,4,0.8,10,0.0
Cora,0.1,4,0.9,0,0.001999974250793457
Cora,0.1,4,0.9,1,0.0040000081062316895
Cora,0.1,4,0.9,2,0.0
Cora,0.1,4,0.9,3,-0.003000020980834961
Cora,0.1,4,0.9,4,0.0
Cora,0.1,4,0.9,5,0.0
Cora,0.1,4,0.9,6,0.0
Cora,0.1,4,0.9,7,0.0
Cora,0.1,4,0.9,8,-0.003000020980834961
Cora,0.1,4,0.9,9,0.0
Cora,0.1,4,0.9,10,0.0
Cora,0.1,5,0.0,0,-0.026000022888183594
Cora,0.1,5,0.0,1,-0.04399996995925903
Cora,0.1,5,0.0,2,0.013000011444091797
Cora,0.1,5,0.0,3,-0.03600001335144043
Cora,0.1,5,0.0,4,-0.027000010013580322
Cora,0.1,5,0.0,5,0.00700002908706665
Cora,0.1,5,0.0,6,-0.010999977588653564
Cora,0.1,5,0.0,7,-0.011999964714050293
Cora,0.1,5,0.0,8,-0.022000014781951904
Cora,0.1,5,0.0,9,-0.013999998569488525
Cora,0.1,5,0.0,10,-0.004999995231628418
Cora,0.1,5,0.1,0,-0.003000020980834961
Cora,0.1,5,0.1,1,-0.03200000524520874
