dataset,noise_rate,seed,strategy,k,gain
CiteSeer,0.1,7,s,5,0.010000050067901611
CiteSeer,0.1,7,s,10,0.012000024318695068
CiteSeer,0.1,7,s,15,0.024000048637390137
CiteSeer,0.1,7,s,20,0.009000003337860107
CiteSeer,0.1,7,s,30,0.0
CiteSeer,0.1,7,s,50,-0.03299999237060547
CiteSeer,0.1,7,s,75,0.006000041961669922
CiteSeer,0.1,7,s,100,-0.010999977588653564
CiteSeer,0.1,7,d,2,-0.012999951839447021
CiteSeer,0.1,7,d,5,-0.4829999953508377
CiteSeer,0.1,7,d,10,-0.4829999953508377
CiteSeer,0.1,7,d,15,-0.4829999953508377
CiteSeer,0.1,7,d,20,-0.4829999953508377
CiteSeer,0.1,7,d,30,-0.4829999953508377
CiteSeer,0.1,7,d,50,-0.4829999953508377
CiteSeer,0.1,7,d,75,-0.4829999953508377
CiteSeer,0.1,7,d,100,-0.4829999953508377
CiteSeer,0.1,7,p,2,-0.0639999508857727
CiteSeer,0.1,7,p,5,-0.4829999953508377
CiteSeer,0.1,7,p,10,-0.6430000066757202
CiteSeer,0.1,7,p,15,-0.4829999953508377
CiteSeer,0.1,7,p,20,-0.4829999953508377
CiteSeer,0.1,7,p,30,-0.4829999953508377
CiteSeer,0.1,7,p,50,-0.4829999953508377
CiteSeer,0.1,7,p,75,-0.4829999953508377
CiteSeer,0.1,7,p,100,-0.4829999953508377
CiteSeer,0.1,7,u,0,0.024000048637390137
CiteSeer,0.1,8,s,2,0.03600001335144043
CiteSeer,0.1,8,s,5,-0.023000001907348633
CiteSeer,0.1,8,s,10,0.03600001335144043
CiteSeer,0.1,8,s,15,0.018000006675720215
CiteSeer,0.1,8,s,20,0.023000001907348633
CiteSeer,0.1,8,s,30,-0.003000020980834961
CiteSeer,0.1,8,s,50,0.02899998426437378
CiteSeer,0.1,8,s,75,-0.015999972820281982
CiteSeer,0.1,8,s,100,-0.058000028133392334
CiteSeer,0.1,8,d,2,-0.10000002384185791
CiteSeer,0.1,8,d,5,-0.3160000145435333
CiteSeer,0.1,8,d,10,-0.6320000290870667
CiteSeer,0.1,8,d,15,-0.47200001776218414
