dataset,noise_rate,seed,p_grd,dexp,gain
CiteSeer,0.1,1,0.6,6,0.022000014781951904
CiteSeer,0.1,1,0.6,7,0.022000014781951904
CiteSeer,0.1,1,0.6,8,0.022000014781951904
CiteSeer,0.1,1,0.6,9,0.022000014781951904
CiteSeer,0.1,1,0.6,10,0.022000014781951904
CiteSeer,0.1,1,0.7,0,0.04300004243850708
CiteSeer,0.1,1,0.7,1,0.026000022888183594
CiteSeer,0.1,1,0.7,2,0.023000001907348633
CiteSeer,0.1,1,0.7,3,0.021000027656555176
CiteSeer,0.1,1,0.7,4,0.022000014781951904
CiteSeer,0.1,1,0.7,5,0.022000014781951904
CiteSeer,0.1,1,0.7,6,0.022000014781951904
CiteSeer,0.1,1,0.7,7,0.022000014781951904
CiteSeer,0.1,1,0.7,8,0.022000014781951904
CiteSeer,0.1,1,0.7,9,0.022000014781951904
CiteSeer,0.1,1,0.7,10,0.022000014781951904
CiteSeer,0.1,1,0.8,0,0.020000040531158447
CiteSeer,0.1,1,0.8,1,0.02799999713897705
CiteSeer,0.1,1,0.8,2,0.018000006675720215
CiteSeer,0.1,1,0.8,3,0.022000014781951904
CiteSeer,0.1,1,0.8,4,0.022000014781951904
CiteSeer,0.1,1,0.8,5,0.022000014781951904
CiteSeer,0.1,1,0.8,6,0.022000014781951904
CiteSeer,0.1,1,0.8,7,0.022000014781951904
CiteSeer,0.1,1,0.8,8,0.022000014781951904
CiteSeer,0.1,1,0.8,9,0.022000014781951904
CiteSeer,0.1,1,0.8,10,0.022000014781951904
CiteSeer,0.1,1,0.9,0,0.030000030994415283
CiteSeer,0.1,1,0.9,1,0.02799999713897705
CiteSeer,0.1,1,0.9,2,0.022000014781951904
CiteSeer,0.1,1,0.9,3,0.022000014781951904
CiteSeer,0.1,1,0.9,4,0.022000014781951904
CiteSeer,0.1,1,0.9,5,0.022000014781951904
CiteSeer,0.1,1,0.9,6,0.022000014781951904
