dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
CiteSeer,0.1,0,1.0,0.5,-0.0040000081062316895
CiteSeer,0.1,0,1.0,0.6,-0.0040000081062316895
CiteSeer,0.1,0,1.0,0.7,-0.0040000081062316895
CiteSeer,0.1,0,1.0,0.8,-0.0040000081062316895
CiteSeer,0.1,0,1.0,0.9,-0.0040000081062316895
CiteSeer,0.1,0,1.0,1.0,-0.009999990463256836
CiteSeer,0.1,1,0.1,0.0,0.017000019550323486
CiteSeer,0.1,1,0.1,0.1,0.030000030994415283
CiteSeer,0.1,1,0.1,0.2,0.030000030994415283
CiteSeer,0.1,1,0.1,0.3,0.030000030994415283
CiteSeer,0.1,1,0.1,0.4,0.030000030994415283
CiteSeer,0.1,1,0.1,0.5,0.025000035762786865
CiteSeer,0.1,1,0.1,0.6,0.025000035762786865
CiteSeer,0.1,1,0.1,0.7,0.025000035762786865
CiteSeer,0.1,1,0.1,0.8,0.025000035762786865
CiteSeer,0.1,1,0.1,0.9,0.025000035762786865
CiteSeer,0.1,1,0.1,1.0,0.025000035762786865
CiteSeer,0.1,1,0.2,0.0,0.012000024318695068
CiteSeer,0.1,1,0.2,0.1,0.021000027656555176
CiteSeer,0.1,1,0.2,0.2,0.021000027656555176
CiteSeer,0.1,1,0.2,0.3,0.021000027656555176
CiteSeer,0.1,1,0.2,0.4,0.021000027656555176
CiteSeer,0.1,1,0.2,0.5,0.017000019550323486
CiteSeer,0.1,1,0.2,0.6,0.017000019550323486
CiteSeer,0.1,1,0.2,0.7,0.017000019550323486
CiteSeer,0.1,1,0.2,0.8,0.017000019550323486
CiteSeer,0.1,1,0.2,0.9,0.017000019550323486
CiteSeer,0.1,1,0.2,1.0,0.017000019550323486
CiteSeer,0.1,1,0.3,0.0,0.012000024318695068
CiteSeer,0.1,1,0.3,0.1,0.021000027656555176
CiteSeer,0.1,1,0.3,0.2,0.021000027656555176
CiteSeer,0.1,1,0.3,0.3,0.021000027656555176
CiteSeer,0.1,1,0.3,0.4,0.021000027656555176
CiteSeer,0.1,1,0.3,0.5,0.017000019550323486
CiteSeer,0.1,1,0.3,0.6,0.017000019550323486
CiteSeer,0.1,1,0.3,0.7,0.017000019550323486
CiteSeer,0.1,1,0.3,0.8,0.017000019550323486
CiteSeer,0.1,1,0.3,0.9,0.017000019550323486
CiteSeer,0.1,1,0.3,1.0,0.017000019550323486
CiteSeer,0.1,1,0.4,0.0,0.012000024318695068
CiteSeer,0.1,1,0.4,0.1,0.021000027656555176
CiteSeer,0.1,1,0.4,0.2,0.021000027656555176
CiteSeer,0.1,1,0.4,0.3,0.021000027656555176
